City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,navoi,90,IT,1517975700,100,46.17,11.83,41.0,6.93
1,ushuaia,40,AR,1517972400,81,-54.81,-68.31,46.4,8.05
2,rikitea,12,PF,1517977141,100,-23.12,-134.97,79.63,8.97
3,hilo,90,US,1517975760,65,19.71,-155.08,77.0,10.29
4,busselton,44,AU,1517977151,94,-33.64,115.35,71.35,15.57
5,cherskiy,64,RU,1517977211,77,68.75,161.3,-11.77,4.38
6,saint-philippe,90,CA,1517976780,85,45.36,-73.48,17.6,2.24
7,new norfolk,0,AU,1517976000,47,-42.78,147.06,78.8,17.22
8,kalmar,12,SE,1517975400,92,56.66,16.36,23.0,6.93
9,bethel,90,US,1517975580,86,60.79,-161.76,30.2,4.7
10,hobart,0,AU,1517976000,47,-42.88,147.33,78.8,17.22
11,bredasdorp,48,ZA,1517976000,72,-34.53,20.04,68.0,2.24
12,nueva guinea,32,NI,1517977551,78,11.69,-84.46,75.31,6.73
13,udachnyy,44,RU,1517977552,59,66.42,112.4,-34.31,3.04
14,tiksi,64,RU,1517977214,41,71.64,128.87,-26.57,11.77
15,albany,75,US,1517975640,62,42.65,-73.75,23.0,3.36
16,port hardy,90,CA,1517976000,93,50.7,-127.42,42.8,8.05
17,butaritari,32,KI,1517977173,100,3.07,172.79,81.66,19.26
18,kastamonu,0,TR,1517977552,86,41.38,33.78,23.92,2.48
19,faya,0,SA,1517972400,23,18.39,42.45,48.2,1.92
20,narsaq,36,GL,1517975400,85,60.91,-46.05,23.0,14.99
21,airai,64,TL,1517977142,71,-8.93,125.41,81.43,2.71
22,ribeira grande,36,PT,1517977173,100,38.52,-28.7,58.93,10.65
23,padang,20,ID,1517977254,100,-0.92,100.36,81.43,4.72
24,arraial do cabo,92,BR,1517977198,100,-22.97,-42.02,72.21,8.19
25,menongue,76,AO,1517977553,98,-14.66,17.68,65.05,4.05
26,chakrata,0,IN,1517977553,54,30.7,77.87,42.6,3.49
27,nikolskoye,75,RU,1517974200,85,59.7,30.79,12.2,13.42
28,luderitz,8,NA,1517972400,82,-26.65,15.16,62.6,1.7
29,kapaa,75,US,1517975760,73,22.08,-159.32,73.4,6.06
30,torbay,90,CA,1517976000,73,47.66,-52.73,26.6,13.87
31,san ramon de la nueva oran,32,AR,1517977553,69,-23.13,-64.33,79.0,4.38
32,te anau,0,NZ,1517977195,63,-45.41,167.72,64.15,3.71
33,samarai,0,PG,1517977239,95,-10.62,150.67,85.93,14.56
34,carnarvon,88,ZA,1517977172,64,-30.97,22.13,64.51,13.0
35,port hueneme,1,US,1517975880,93,34.15,-119.2,62.6,3.15
36,daulatpur,20,BD,1517977554,71,22.87,89.53,72.07,4.61
37,moussoro,0,TD,1517977555,37,13.64,16.49,60.06,5.39
38,tigil,44,RU,1517977555,85,57.8,158.67,31.48,11.1
39,qasigiannguit,36,GL,1517975400,79,68.82,-51.19,21.2,10.29
40,northam,0,GB,1517971800,95,51.04,-4.21,32.0,4.7
41,puerto ayora,24,EC,1517977177,97,-0.74,-90.35,77.34,7.63
42,bluff,0,AU,1517977150,42,-23.58,149.07,87.28,12.77
43,tasiilaq,76,GL,1517975400,85,65.61,-37.64,21.2,48.32
44,upernavik,76,GL,1517977182,100,72.79,-56.15,4.89,14.67
45,cabo san lucas,90,MX,1517971500,68,22.89,-109.91,73.4,9.98
46,warrnambool,20,AU,1517977433,77,-38.38,142.48,75.18,4.16
47,yellowknife,90,CA,1517976000,70,62.45,-114.38,-4.01,14.99
48,port alfred,92,ZA,1517977156,92,-33.59,26.89,69.73,12.44
49,bayan,0,MN,1517977556,70,47.25,107.54,3.09,4.38
50,poum,44,MK,1517977198,96,41.28,20.71,24.69,1.7
51,santiago,0,CL,1517976000,68,-33.44,-70.65,66.2,5.82
52,ngunguru,80,NZ,1517977320,90,-35.62,174.5,71.49,19.6
53,harper,90,US,1517976000,87,30.3,-99.24,44.6,4.7
54,port keats,0,AU,1517977558,84,-14.25,129.55,89.8,8.19
55,mataura,48,NZ,1517977154,84,-46.19,168.86,62.17,11.43
56,bana,80,CN,1517977558,41,24.25,107.4,50.56,3.71
57,punta arenas,20,CL,1517972400,70,-53.16,-70.91,46.4,13.87
58,beian,75,NO,1517975400,80,63.66,9.57,30.2,10.29
59,tuatapere,20,NZ,1517977275,100,-46.13,167.69,59.47,8.75
60,jamestown,56,AU,1517977144,24,-33.21,138.6,94.26,8.41
61,thompson,40,CA,1517976000,57,55.74,-97.86,-11.21,9.17
62,chuy,0,UY,1517977205,87,-33.69,-53.46,70.86,12.1
63,khatanga,64,RU,1517977173,60,71.98,102.47,-20.9,2.48
64,ilulissat,36,GL,1517975400,79,69.22,-51.1,21.2,10.29
65,yaan,0,NG,1517977307,59,7.38,8.57,69.1,6.73
66,solwezi,64,ZM,1517977559,96,-12.18,26.4,61.18,2.93
67,clyde river,40,CA,1517976000,68,70.47,-68.59,-20.21,19.46
68,graham,90,US,1517975700,62,36.07,-79.4,53.6,3.36
69,arlit,0,NE,1517977560,66,18.74,7.39,61.81,2.59
70,buraydah,0,SA,1517976000,46,26.33,43.97,50.0,2.24
71,faanui,88,PF,1517977178,100,-16.48,-151.75,79.27,19.04
72,le port,76,FR,1517977561,88,42.87,1.37,14.02,1.48
73,salalah,0,OM,1517971800,24,17.01,54.1,68.0,9.17
74,sao joao da barra,92,BR,1517977152,100,-21.64,-41.05,74.1,12.77
75,tazovskiy,92,RU,1517977562,83,67.47,78.7,16.63,22.62
76,fuzhou,75,CN,1517972400,79,26.08,119.3,50.0,8.95
77,hermanus,68,ZA,1517977154,95,-34.42,19.24,61.05,3.6
78,iqaluit,75,CA,1517976000,60,63.75,-68.52,-25.61,6.62
79,sarahan,68,IN,1517977562,68,31.51,77.79,-11.95,0.69
80,san patricio,8,PY,1517977563,84,-26.98,-56.83,74.19,2.15
81,pangkalanbuun,24,ID,1517977563,96,-2.68,111.62,80.85,6.06
82,castro,92,CL,1517977214,98,-42.48,-73.76,56.77,5.5
83,lichuan,92,CN,1517977563,88,30.3,108.94,35.85,1.59
